  0.50447259883911488                    (36.296285908459090,76.567804308182460)               (30.609515775626917,8.0156135992055724)               (8.1687219392621504,56.482070560822429)               (66.154801484081915,47.856979156307297)       (-98.667007392332508,-3.14193115968919301E-014)              (66.154801484081915,-47.856979156307382)              (8.1687219392621095,-56.482070560822450)              (30.609515775626964,-8.0156135992055155)              (36.296285908459012,-76.567804308182559)        (3084.7715195520477,-4.40419456546742305E-014)
  0.50507862962634564                   (-31.518410200908150,11.921264295444855)              (-38.148151378469983,6.9007710963176159)              (27.477638424133811,-67.604329757922415)              (-36.397391291903091,49.652071700431449)       (-65.464623431314195,-4.16333634234433703E-015)             (-36.397391291903176,-49.652071700431527)               (27.477638424133833,67.604329757922571)             (-38.148151378470061,-6.9007710963175972)             (-31.518410200908093,-11.921264295444828)         (2952.1992890246911,1.35162063832905410E-015)
  0.50390546372185074                   (18.864634957437801,-27.221680323643202)             (-12.103098999174323,-15.817837441955525)              (-69.428152401004368,41.485220196345672)               (43.700748267378252,21.018643170116732)         (105.35418579535273,4.22994972382184642E-014)              (43.700748267378266,-21.018643170116693)             (-69.428152401004297,-41.485220196345836)              (-12.103098999174311,15.817837441955517)               (18.864634957437808,27.221680323643202)        (2939.1977046990041,-1.87689761736026250E-014)
  0.50373368780632111             (-5.77931387527597096E-005,29.845700227694500)              (-26.082429503895426,27.713433697626407)              (-26.984579460148112,74.398380070074580)              (43.790987898169902,-11.342197451191963)         (17.808043277597218,7.77156117237609578E-015)               (43.790987898169938,11.342197451191971)             (-26.984579460148300,-74.398380070074808)             (-26.082429503895437,-27.713433697626449)       (-5.77931387779617722E-005,-29.845700227694472)         (2953.1902184004239,3.55363796115254482E-014)
  0.50596238198527232                  (-42.418966955338320,-52.980260475569672)              (-35.686322677592706,47.883648954361782)               (7.2295886452378335,32.032278473728987)             (-8.2792420746047579,-3.1251335184619853)         (67.196780165298350,5.68434188608080149E-014)              (-8.2792420746047117,3.1251335184620004)              (7.2295886452378717,-32.032278473729015)             (-35.686322677592692,-47.883648954361831)              (-42.418966955338149,52.980260475569722)         (3075.3195273209249,6.55486949441286271E-015)
  0.50308790193436626                    (45.079727036433383,38.986810078293267)              (6.6537308727513196,-26.847638290454643)              (-10.382611268572537,30.025708995555885)               (40.130378655226373,30.958586143654539)        (82.048027483381219,-2.68535194081209738E-014)              (40.130378655226330,-30.958586143654603)             (-10.382611268572559,-30.025708995555895)               (6.6537308727514173,26.847638290454633)              (45.079727036433397,-38.986810078293253)         (2912.7776136301095,1.90273144462516086E-014)
  0.50096905499974831                    (24.381382465329864,70.285940959664273)              (-52.120157072373559,27.352540589702915)             (-28.594957679643077,-1.9526293848496588)              (-15.909533425927574,33.498810512794229)        (7.2349017129428699,-7.88258347483861144E-015)             (-15.909533425927624,-33.498810512794236)              (-28.594957679643141,1.9526293848496106)             (-52.120157072373402,-27.352540589702897)              (24.381382465329892,-70.285940959664302)        (3012.6324679309678,-3.20199596004488996E-014)
  0.50188678552541288                    (37.161512680438982,13.914442189929456)             (-3.1925197796806231,-3.3190166125968870)              (13.526474791185590,-20.154967869724594)              (44.858379548279821,-29.713352794000791)       (-9.4794434710017264,-2.75890421619351400E-014)               (44.858379548279778,29.713352794000766)               (13.526474791185612,20.154967869724569)              (-3.1925197796806328,3.3190166125968834)              (37.161512680438996,-13.914442189929487)         (3061.2748530885196,6.64474985451191102E-015)
  0.50498066458302404                   (25.099453340039968,-24.782751614773915)             (-53.378000261616727,-64.494891799102533)               (24.448750721735934,50.431545062412617)              (27.197731608738763,-26.819337689994025)         (20.494268988251662,1.04916075827077293E-014)               (27.197731608738714,26.819337689994022)              (24.448750721735937,-50.431545062412610)              (-53.378000261616705,64.494891799102547)               (25.099453340039926,24.782751614773915)         (3131.3576920616324,1.46339375079601597E-014)
  0.50584647192294252                  (-2.1436753998169573,-8.4968461908740878)            (-5.1498771606652918,-0.84807855800751497)              (40.442196980590012,-46.507370267913885)              (-7.7842417198576870,61.110403929727084)        (0.36250687508724411,3.44169137633798528E-015)             (-7.7842417198577163,-61.110403929727056)               (40.442196980590026,46.507370267913956)             (-5.1498771606652767,0.84807855800750842)              (-2.1436753998169404,8.4968461908740913)        (3034.2092210675351,-2.18100582353390055E-014)
  0.50800837938046128                   (-10.569616142037447,16.360850042739010)              (-15.816155466008516,48.664392746458098)              (15.199101434276251,-15.540517555614462)              (-40.921597582345441,11.968305635020407)         (64.863765048091508,1.42108547152020037E-014)             (-40.921597582345406,-11.968305635020386)               (15.199101434276256,15.540517555614406)             (-15.816155466008533,-48.664392746458127)             (-10.569616142037496,-16.360850042738999)         (3086.7750700560769,5.34836931687099337E-016)
  0.51029104235165534                   (8.0341597321903055,-9.6026588087308493)              (7.8424615019763948,-34.209503024183519)              (-19.987571047203865,4.2567478003210457)               (30.578250179986625,64.268996968731386)        (21.212836125853926,-3.55271367880050093E-015)              (30.578250179986622,-64.268996968731400)             (-19.987571047203804,-4.2567478003210528)               (7.8424615019764241,34.209503024183476)               (8.0341597321903357,9.6026588087307978)         (2972.9908412923319,5.42754995678032537E-015)
  0.50989160213005924                    (30.761603855095366,27.794847517652187)             (-95.442202463228512,-13.768787800373072)               (8.1575456777006021,45.666443285315154)              (-15.079702910881238,31.350592536245326)       (-26.390843567195095,-4.86277684785818565E-014)             (-15.079702910881302,-31.350592536245202)              (8.1575456777006146,-45.666443285315182)              (-95.442202463228369,13.768787800373069)              (30.761603855095359,-27.794847517652148)        (2928.8355494290745,-1.60430479664852577E-014)
  0.50501697515822941                    (66.977646002171028,32.429972661026611)               (32.051713759181091,46.717649205509403)              (16.889617107376921,-12.271796674975088)               (7.2609700897804759,1.4534266431484446)        (-17.262574880451389,5.66213742558829836E-015)              (7.2609700897805594,-1.4534266431484997)               (16.889617107376782,12.271796674975143)              (32.051713759181162,-46.717649205509339)              (66.977646002171113,-32.429972661026561)         (3026.6350422104570,8.72309460721223257E-014)
  0.50541380690889659                  (-45.769641950533469,-44.420691973488722)               (10.216381184730656,30.999926285921813)              (17.352823935882753,-21.451018253384092)              (44.614806372064507,-27.451036026810439)        (46.607205551006651,-3.10862446895043831E-014)               (44.614806372064514,27.451036026810382)               (17.352823935882697,21.451018253384099)              (10.216381184730668,-30.999926285921902)              (-45.769641950533426,44.420691973488751)        (2958.6503851497437,-1.92120896014974507E-014)
  0.50394620296339365                    (19.980509570891368,44.670623679499712)              (-31.277501898475872,6.6194468588941024)              (6.0771335639852895,-56.736135838931482)             (-27.879967246291081,-34.619529833165927)         (61.060145922252801,2.56461518688411161E-014)              (-27.879967246291066,34.619529833165927)               (6.0771335639852655,56.736135838931560)             (-31.277501898475876,-6.6194468588941131)              (19.980509570891350,-44.670623679499748)         (2940.2187864815173,1.31340251174894007E-014)
  0.49973185187654656                   (-23.614185426328227,28.943122997585952)              (30.827826785794475,-23.512727699157974)              (26.951748703861306,-1.8331541383124677)              (37.545109556153605,-35.960078138565031)       (-62.379323775380946,-8.21565038222615840E-015)               (37.545109556153669,35.960078138565031)               (26.951748703861227,1.8331541383125072)               (30.827826785794379,23.512727699158059)             (-23.614185426328206,-28.943122997585920)         (2833.5649173090687,1.37869316657601715E-014)
  0.50034857681043887                    (37.843397631665084,43.628617819135542)              (12.966556096913207,-23.869498043093625)               (5.8838583098975077,36.407458155790209)             (-26.773972794111749,-36.402053636093889)         (4.2259505503474850,7.97140131680862396E-014)              (-26.773972794111735,36.402053636093783)              (5.8838583098974961,-36.407458155790160)               (12.966556096913186,23.869498043093714)              (37.843397631665106,-43.628617819135521)        (2983.0066715742923,-3.21049068406631388E-014)
  0.50170082826862450                   (57.250043466508259,-38.273761208583792)              (-8.3914237151736693,31.190667442173986)               (22.686788050596622,4.4874492222896976)             (-30.240090391955246,-11.066547358497452)        (-38.183555280700027,1.15463194561016280E-014)              (-30.240090391955306,11.066547358497438)              (22.686788050596643,-4.4874492222896905)             (-8.3914237151737439,-31.190667442174004)               (57.250043466508181,38.273761208583814)         (3069.9765289275679,2.91440591278224748E-014)
  0.50272909952159206                    (3.1929583157721346,38.000269069329633)              (-74.545316942305362,48.314139605091952)              (14.368667712806628,-70.689728031082595)               (12.238142805757180,6.4377424534994683)        (-46.784214697704201,8.43075609324728248E-015)              (12.238142805757168,-6.4377424534994523)               (14.368667712806644,70.689728031082510)             (-74.545316942305433,-48.314139605091938)              (3.1929583157720991,-38.000269069329669)         (2916.3156034163458,1.15914180313122887E-014)
  0.50261068037890788                    (22.498588974527316,34.814086676743663)              (52.477179913070913,-22.887502393185251)              (14.704431157266320,-56.822426283463876)              (-2.4688419263688783,6.5977856405651734)       (-4.0666697350117751,-1.50990331349021289E-014)             (-2.4688419263688854,-6.5977856405651885)               (14.704431157266304,56.822426283463933)               (52.477179913070941,22.887502393185294)              (22.498588974527294,-34.814086676743663)        (2908.8801711712590,-1.21421969700996613E-014)
  0.50176100107721178                    (38.619979173860287,23.210056212267659)              (-61.457555163310175,62.807330010709656)               (4.0552669632171163,73.692974246269472)              (-57.631149482114864,36.051649467744859)        (48.320045411108033,-3.58602036953925563E-014)             (-57.631149482114836,-36.051649467744824)              (4.0552669632171181,-73.692974246269529)             (-61.457555163310140,-62.807330010709656)              (38.619979173860159,-23.210056212267663)        (2928.7242737578699,-3.44007049409011945E-014)
  0.50320665919613716                   (-46.796972577007018,10.874751080356301)               (28.758401131078241,3.4023671565962434)               (25.885090354999075,28.572516642933376)             (-5.1077085989260009,-31.442672794695415)        (77.538937268360044,-1.68753899743023794E-014)              (-5.1077085989259654,31.442672794695394)              (25.885090354999097,-28.572516642933419)              (28.758401131078216,-3.4023671565962630)             (-46.796972577007011,-10.874751080356290)        (3003.8368646905637,-1.84603851302589383E-014)
  0.50419895885967703                    (59.161175897692495,61.375028937136307)              (30.153304327590803,-5.1365826270567867)             (-9.7692445942216377,-30.038882179427532)               (19.687012562204561,27.437463051652909)       (-1.9031474342877761,-3.77475828372553224E-014)              (19.687012562204572,-27.437463051652873)              (-9.7692445942216111,30.038882179427489)               (30.153304327590746,5.1365826270567494)              (59.161175897692445,-61.375028937136300)         (3104.8514281183270,8.90279061409315897E-016)
  0.50366192262038934                    (55.450851389666447,48.531151125288964)              (44.945044189483134,-4.1079146795543586)              (-2.7646146495309161,30.262273204597378)              (60.810947612414644,-32.217823032813513)       (-12.396666178369285,-2.50910403565285378E-014)               (60.810947612414637,32.217823032813520)             (-2.7646146495308583,-30.262273204597371)               (44.945044189483120,4.1079146795543480)              (55.450851389666383,-48.531151125288972)        (3016.5086905149424,-3.99253621428865418E-014)
  0.50029908184188243                    (6.8496503279184182,14.149982896410465)               (7.9822103478042044,41.817904355075619)              (-15.581016328093751,11.424067164094808)              (17.001729930715619,-21.996355711203737)        (-32.510700798669774,1.63757896132210590E-014)               (17.001729930715573,21.996355711203748)             (-15.581016328093709,-11.424067164094730)              (7.9822103478042017,-41.817904355075626)              (6.8496503279183916,-14.149982896410386)         (2993.1962480050001,1.75071139226282146E-014)
  0.50268950562263037                  (-18.415403935717979,-7.1377711095517373)             (-4.2628687651718735,-1.3915946583197161)              (0.33052119582246531,48.326645580230256)             (-8.5033439122807479,-67.693775430970149)        (-70.448284516000783,2.44249065417534439E-014)              (-8.5033439122807213,67.693775430970064)             (0.33052119582247341,-48.326645580230256)              (-4.2628687651718336,1.3915946583197567)              (-18.415403935717954,7.1377711095517835)        (2909.3377313656060,-5.42932669309048599E-014)
  0.50264444241686523                   (38.039270282571295,-70.250770654681062)        (6.45854108027369977E-002,-43.614479963388725)               (61.827468513188471,8.6752634141269365)               (27.233773939377603,6.2564066270033045)        (21.033259843020293,-3.13082892944294144E-014)              (27.233773939377699,-6.2564066270033054)              (61.827468513188364,-8.6752634141269969)         (6.45854108027281160E-002,43.614479963388725)               (38.039270282571266,70.250770654681162)        (3091.7717997074283,-2.73695996422240739E-015)
  0.50320784971145405                   (-66.781941063825741,107.73428422225592)             (-45.497447062942342,-13.167801021267671)              (-11.081735078460307,24.440960562412435)              (-4.0681301527992737,12.354525509733948)       (-33.836069356810171,-1.15463194561016280E-014)             (-4.0681301527993119,-12.354525509733913)             (-11.081735078460333,-24.440960562412403)              (-45.497447062942314,13.167801021267657)             (-66.781941063825840,-107.73428422225598)        (2963.1912721805743,-2.77718386482161961E-015)
  0.50703407466089201                  (-25.173882100775565,-4.2546927245681641)             (-13.828070766068246,-20.137422960967886)              (57.345948222100660,-8.0000713450268410)              (73.908617375281707,-11.559098375124130)         (74.419549306151879,7.10542735760100186E-015)               (73.908617375281722,11.559098375124060)               (57.345948222100709,8.0000713450268268)              (-13.828070766068199,20.137422960967971)              (-25.173882100775582,4.2546927245681934)         (3211.4236511431545,7.73193358297175060E-015)
  0.50123503899693989                    (61.875879009051516,12.234741436111591)               (15.484354175015378,20.957257885425580)               (62.281613132515240,40.429132062212787)               (7.1916672720257928,55.915523545624424)        (-39.694434411297721,5.77315972805081401E-015)              (7.1916672720258159,-55.915523545624431)              (62.281613132515254,-40.429132062212780)              (15.484354175015344,-20.957257885425605)              (61.875879009051502,-12.234741436111602)        (2973.9793728065833,-4.35808797869788236E-014)
  0.50290602198616108                   (-12.978466058483100,29.735138733436035)               (16.752036755279292,6.8974996435015825)              (12.512124866342024,-7.6203172948118842)              (54.330309045331830,-57.666374802508585)        (35.977019163953997,-1.23095977855314231E-014)               (54.330309045332015,57.666374802508578)               (12.512124866342035,7.6203172948118922)              (16.752036755279278,-6.8974996435015337)             (-12.978466058483031,-29.735138733436013)        (2956.1067785610098,-5.29495338633806378E-014)
  0.50796805221776831                   (-9.5397232977771260,21.350654712530559)             (-16.687966660595091,-8.4472228006755810)              (59.345805611906897,-4.6719840073779455)             (-33.080661888576046,-86.318184811584672)         (6.5093369883647227,9.88098491916389321E-015)              (-33.080661888576181,86.318184811584644)               (59.345805611907068,4.6719840073779437)              (-16.687966660595105,8.4472228006756005)             (-9.5397232977770887,-21.350654712530584)        (2938.6178347351788,-1.30875128442897726E-014)
  0.50487259606969648                   (-32.798769862497501,44.415246865795396)             (-39.071307164399535,-6.0570631082841588)               (59.987266960861767,15.433309576126238)               (1.4408881686327859,53.258546358630589)        (-50.856572586775883,1.46826995006676952E-014)              (1.4408881686328112,-53.258546358630753)              (59.987266960861909,-15.433309576126192)              (-39.071307164399570,6.0570631082841633)             (-32.798769862497515,-44.415246865795396)         (2965.6710107509484,3.38802878981081523E-014)
  0.50698775984102307                    (47.256874425799367,3.5234747457021607)              (-68.188328821584960,7.9272392834752985)              (-6.7899729047401642,14.441394839911080)               (110.17694839514782,9.1825187821952596)        (-10.112598012931167,1.57651669496772229E-014)              (110.17694839514773,-9.1825187821952614)             (-6.7899729047401420,-14.441394839911123)             (-68.188328821584918,-7.9272392834753012)              (47.256874425799417,-3.5234747457021900)         (2995.1096040962975,3.23680969180339950E-014)
  0.50922842661610057                   (42.039319430217020,-42.821413097450460)              (28.809040978994485,-20.099400690402636)              (-13.422314393906047,64.749814569067880)              (-5.6019049144923647,19.309595597632221)         (23.713819344398370,4.24660306919122377E-014)             (-5.6019049144923754,-19.309595597632168)             (-13.422314393906122,-64.749814569067837)               (28.809040978994485,20.099400690402621)               (42.039319430217020,42.821413097450481)         (2964.0479999919908,6.82863054296545258E-015)
  0.50716866606360844                    (83.290045383971162,35.471223767024341)              (-23.489370707020910,54.784129426628532)              (-29.728604702265617,50.114484495396823)             (-12.230347719257171,-12.601025500572693)       (-0.95397993848322771,1.96509475358652708E-014)              (-12.230347719257219,12.601025500572760)             (-29.728604702265574,-50.114484495396788)             (-23.489370707020868,-54.784129426628553)              (83.290045383971076,-35.471223767024348)         (3048.7463685074317,1.31383077160707185E-014)
  0.50688869462385888                   (-60.996378996094329,27.952234507855316)            (-17.381152805064566,-0.70637447462780656)               (6.0498215544587595,16.065652696287948)              (-22.740543847539314,18.062851937603966)         (37.532390735114056,2.88657986402540701E-014)             (-22.740543847539303,-18.062851937603927)              (6.0498215544588287,-16.065652696287923)             (-17.381152805064634,0.70637447462783554)             (-60.996378996094293,-27.952234507855351)        (2969.9756761081840,-1.65055144031589496E-014)
  0.50833675176220605                   (-2.7379572138411250,12.334597884019065)               (17.473294108484204,31.267343528279465)             (-56.227043758530208,-28.841835293476596)              (-11.550236881727331,10.429795550067963)       (-11.111315521804974,-3.01980662698042579E-014)             (-11.550236881727267,-10.429795550067940)              (-56.227043758530236,28.841835293476585)              (17.473294108484126,-31.267343528279504)             (-2.7379572138411303,-12.334597884019077)        (2828.0889824302917,-1.77865941376406655E-014)
  0.50547099790092265                   (91.691182958409300,-31.237192694100315)              (7.7825308973381455,-21.321088536728137)              (18.000523345370684,-10.857133894650120)               (2.8622898880720316,1.1421200058388248)       (-16.436120485182467,-3.17523785042794771E-014)              (2.8622898880720209,-1.1421200058388838)               (18.000523345370649,10.857133894650145)               (7.7825308973381535,21.321088536728151)               (91.691182958409101,31.237192694100266)        (2799.3559382678372,-1.91110148539674896E-014)
  0.50377416155370047                   (35.483081061465242,-22.908090929103519)              (-13.647793167143638,6.5601047903766823)              (50.437021168985609,-46.460257882426760)             (-14.997184694267073,-18.685812996480919)        (41.422435581256636,-2.99760216648792266E-014)              (-14.997184694267135,18.685812996480937)               (50.437021168985524,46.460257882426752)             (-13.647793167143607,-6.5601047903767018)               (35.483081061465285,22.908090929103508)        (2910.2837914727429,-2.01686693198201497E-014)
  0.50417501138784715                   (-34.235969117124476,15.371758344122538)               (20.120422014812640,68.140294811785822)             (-16.507363673317876,-33.705901827509599)              (95.413158323164154,-42.775960387417406)       (-47.761263996924590,-1.83186799063150829E-015)               (95.413158323164097,42.775960387417477)              (-16.507363673317801,33.705901827509571)              (20.120422014812632,-68.140294811785836)             (-34.235969117124505,-15.371758344122476)        (3093.4635037007847,-3.86134266922022462E-014)
  0.50521819435874660                   (62.260000155137490,0.42604768573530227)              (32.039535165563848,-29.017115739152189)              (-19.520575062858029,20.090487730751949)             (-1.4955330330484595,-26.721985232555607)         (11.616496205926781,2.28705943072782247E-014)              (-1.4955330330485253,26.721985232555632)             (-19.520575062858050,-20.090487730751896)               (32.039535165563819,29.017115739152093)             (62.260000155137554,-0.42604768573526342)         (2800.8974973591621,4.30818575258840042E-015)
  0.50848214134916581                  (-32.359274992054424,-6.5309116487462475)              (-1.2943318070781138,30.403173270146020)             (-3.4585275361923498,-7.5258431745897827)             (-23.870896011406412,-12.021151427869320)        (-96.166657795141276,2.95041768794135351E-014)              (-23.870896011406401,12.021151427869290)              (-3.4585275361923511,7.5258431745897250)             (-1.2943318070781094,-30.403173270146024)              (-32.359274992054381,6.5309116487462582)         (2987.1613550474876,4.67647838856000142E-014)
  0.50368618977207302                    (3.4625281001477175,3.8438736292959867)               (1.5336796372935786,28.616494338321001)             (-16.196890147000762,-30.945636737156505)              (-17.482629925004687,95.169995546484060)         (41.460185459031024,5.71764857681955618E-015)             (-17.482629925004648,-95.169995546483989)              (-16.196890147000751,30.945636737156384)              (1.5336796372935575,-28.616494338321086)              (3.4625281001477779,-3.8438736292959041)        (2941.5384604656847,-4.42218961102525121E-015)
