# step                t               action                    Q
     0         0.000000   -120724.6004517785        -0.0452104382
     1         0.100000   -168700.8486295388        -0.0175043205
     2         0.200000   -185115.5044844062        -0.0749351334
     3         0.300000   -191060.3148784615        -0.0604876268
     4         0.400000   -193491.2676575653        -0.0364926309
     5         0.500000   -194630.5001683671        -0.0325222770
     6         0.600000   -195235.4423919307        -0.0339019863
     7         0.700000   -195591.5616689204        -0.0340615925
     8         0.800000   -195819.0735024174        -0.0327638484
     9         0.900000   -195973.9961327166        -0.0306591475
    10         1.000000   -196084.8619277156        -0.0282456567
    11         1.100000   -196167.3598540420        -0.0258138037
    12         1.200000   -196230.6922701045        -0.0235081706
    13         1.300000   -196280.5566572849        -0.0213889538
    14         1.400000   -196320.6438452236        -0.0194722156
    15         1.500000   -196353.4375459244        -0.0177525098
    16         1.600000   -196380.6639583823        -0.0162147773
    17         1.700000   -196403.5563438546        -0.0148404296
    18         1.800000   -196423.0169858177        -0.0136104023
    19         1.900000   -196439.7198054515        -0.0125066479
    20         2.000000   -196454.1773673281        -0.0115128138
    21         2.100000   -196466.7858095995        -0.0106144872
    22         2.200000   -196477.8556876293        -0.0097992065
    23         2.300000   -196487.6335946114        -0.0090563446
    24         2.400000   -196496.3176026207        -0.0083769283
    25         2.500000   -196504.0684772005        -0.0077534293
    26         2.600000   -196511.0179467092        -0.0071795521
    27         2.700000   -196517.2748847182        -0.0066500317
    28         2.800000   -196522.9299905732        -0.0061604506
    29         2.900000   -196528.0593742089        -0.0057070797
    30         3.000000   -196532.7273312586        -0.0052867420
    31         3.100000   -196536.9885125293        -0.0048967016
    32         3.200000   -196540.8896357950        -0.0045345723
    33         3.300000   -196544.4708480269        -0.0041982465
    34         3.400000   -196547.7668181666        -0.0038858391
    35         3.500000   -196550.8076203344        -0.0035956442
    36         3.600000   -196553.6194528141        -0.0033261034
    37         3.700000   -196556.2252270853        -0.0030757808
    38         3.800000   -196558.6450535606        -0.0028433456
    39         3.900000   -196560.8966444132        -0.0026275585
    40         4.000000   -196562.9956495774        -0.0024272620
    41         4.100000   -196564.9559384278        -0.0022413732
    42         4.200000   -196566.7898371021        -0.0020688778
    43         4.300000   -196568.5083294276        -0.0019088262
    44         4.400000   -196570.1212277705        -0.0017603294
    45         4.500000   -196571.6373188362        -0.0016225564
    46         4.600000   -196573.0644887528        -0.0014947307
    47         4.700000   -196574.4098306190        -0.0013761281
    48         4.800000   -196575.6797373980        -0.0012660737
    49         4.900000   -196576.8799823826        -0.0011639400
    50         5.000000   -196578.0157891237        -0.0010691435
    51         5.100000   -196579.0918924058        -0.0009811430
    52         5.200000   -196580.1125915067        -0.0008994367
    53         5.300000   -196581.0817968657        -0.0008235599
    54         5.400000   -196582.0030711814        -0.0007530826
    55         5.500000   -196582.8796654753        -0.0006876074
    56         5.600000   -196583.7145509897        -0.0006267668
    57         5.700000   -196584.5104474549        -0.0005702216
    58         5.800000   -196585.2698480233        -0.0005176587
    59         5.900000   -196585.9950415055        -0.0004687890
    60         6.000000   -196586.6881321360        -0.0004233457
    61         6.100000   -196587.3510571328        -0.0003810827
    62         6.200000   -196587.9856024419        -0.0003417729
    63         6.300000   -196588.5934167977        -0.0003052065
    64         6.400000   -196589.1760242692        -0.0002711899
    65         6.500000   -196589.7348355601        -0.0002395445
    66         6.600000   -196590.2711581317        -0.0002101051
    67         6.700000   -196590.7862052977        -0.0001827190
    68         6.800000   -196591.2811044591        -0.0001572452
    69         6.900000   -196591.7569044359        -0.0001335532
    70         7.000000   -196592.2145821976        -0.0001115220
    71         7.100000   -196592.6550488253        -0.0000910398
    72         7.200000   -196593.0791550296        -0.0000720030
    73         7.300000   -196593.4876960325        -0.0000543153
    74         7.400000   -196593.8814160541        -0.0000378876
    75         7.500000   -196594.2610124127        -0.0000226370
    76         7.600000   -196594.6271391213        -0.0000084866
    77         7.700000   -196594.9804103588         0.0000046351
    78         7.800000   -196595.3214034261         0.0000167947
    79         7.900000   -196595.6506615741         0.0000280539
    80         8.000000   -196595.9686965382         0.0000384705
    81         8.100000   -196596.2759908358         0.0000480982
    82         8.200000   -196596.5729998988         0.0000569870
    83         8.300000   -196596.8601539956         0.0000651837
    84         8.400000   -196597.1378600450         0.0000727319
    85         8.500000   -196597.4065031435         0.0000796724
    86         8.600000   -196597.6664481852         0.0000860431
    87         8.700000   -196597.9180411302         0.0000918797
    88         8.800000   -196598.1616103095         0.0000972155
    89         8.900000   -196598.3974675402         0.0001020816
    90         9.000000   -196598.6259092371         0.0001065072
    91         9.100000   -196598.8472173850         0.0001105197
    92         9.200000   -196599.0616604092         0.0001141446
    93         9.300000   -196599.2694940567         0.0001174060
    94         9.400000   -196599.4709621255         0.0001203264
    95         9.500000   -196599.6662972052         0.0001229271
    96         9.600000   -196599.8557213689         0.0001252278
    97         9.700000   -196600.0394466998         0.0001272472
    98         9.800000   -196600.2176759500         0.0001290029
    99         9.900000   -196600.3906030165         0.0001305115
   100        10.000000   -196600.5584134592         0.0001317883
   101        10.100000   -196600.7212849341         0.0001328481
   102        10.200000   -196600.8793876503         0.0001337046
   103        10.300000   -196601.0328847191         0.0001343707
   104        10.400000   -196601.1819325883         0.0001348587
   105        10.500000   -196601.3266813445         0.0001351801
   106        10.600000   -196601.4672750171         0.0001353456
   107        10.700000   -196601.6038519581         0.0001353656
   108        10.800000   -196601.7365450185         0.0001352498
   109        10.900000   -196601.8654819403         0.0001350071
   110        11.000000   -196601.9907854795         0.0001346462
   111        11.100000   -196602.1125737304         0.0001341753
   112        11.200000   -196602.2309603139         0.0001336020
   113        11.300000   -196602.3460545606         0.0001329336
   114        11.400000   -196602.4579617544         0.0001321769
   115        11.500000   -196602.5667832844         0.0001313383
   116        11.600000   -196602.6726168228         0.0001304241
   117        11.700000   -196602.7755564856         0.0001294399
   118        11.800000   -196602.8756930081         0.0001283913
