# step                t               action                    Q
     0         0.000000   -116916.3345223509         1.6532980949
     1         0.100000   -161953.7697186153         0.9919384256
     2         0.200000   -181225.4091738960         0.7546245308
     3         0.300000   -188944.2825335248         0.6052860799
     4         0.400000   -192278.8995937489         0.4629791592
     5         0.500000   -193879.7786169128         0.3359939212
     6         0.600000   -194732.4228471123         0.2269171840
     7         0.700000   -195230.3893022893         0.1401130373
     8         0.800000   -195544.5630389540         0.0797572297
     9         0.900000   -195755.5795316712         0.0446437522
    10         1.000000   -195904.5870930502         0.0278677594
    11         1.100000   -196014.1260222115         0.0215329217
    12         1.200000   -196097.3191071413         0.0202490908
    13         1.300000   -196162.2112407245         0.0211389246
    14         1.400000   -196213.9589199387         0.0228157331
    15         1.500000   -196255.9973173600         0.0246370158
    16         1.600000   -196290.6922545299         0.0263154518
    17         1.700000   -196319.7202282524         0.0277339835
    18         1.800000   -196344.2987006402         0.0288583086
    19         1.900000   -196365.3306461333         0.0296942239
    20         2.000000   -196383.4981787040         0.0302660495
    21         2.100000   -196399.3249135377         0.0306054064
    22         2.200000   -196413.2185409871         0.0307453406
    23         2.300000   -196425.5005322945         0.0307173260
    24         2.400000   -196436.4272701067         0.0305498629
    25         2.500000   -196446.2053395430         0.0302679658
    26         2.600000   -196455.0027646556         0.0298931390
    27         2.700000   -196462.9573804623         0.0294436055
    28         2.800000   -196470.1831494023         0.0289346522
    29         2.900000   -196476.7749817846         0.0283790120
    30         3.000000   -196482.8124535202         0.0277872391
    31         3.100000   -196488.3627012538         0.0271680551
    32         3.200000   -196493.4826973171         0.0265286537
    33         3.300000   -196498.2210523672         0.0258749650
    34         3.400000   -196502.6194549379         0.0252118776
    35         3.500000   -196506.7138293686         0.0245434243
    36         3.600000   -196510.5352737063         0.0238729353
    37         3.700000   -196514.1108240080         0.0232031631
    38         3.800000   -196517.4640811400         0.0225363850
    39         3.900000   -196520.6157274532         0.0218744856
    40         4.000000   -196523.5839551104         0.0212190243
    41         4.100000   -196526.3848227633         0.0205712895
    42         4.200000   -196529.0325540338         0.0199323429
    43         4.300000   -196531.5397884252         0.0193030557
    44         4.400000   -196533.9177929036         0.0186841380
    45         4.500000   -196536.1766413147         0.0180761633
    46         4.600000   -196538.3253668390         0.0174795887
    47         4.700000   -196540.3720921260         0.0168947718
    48         4.800000   -196542.3241407447         0.0163219850
    49         4.900000   -196544.1881328726         0.0157614276
    50         5.000000   -196545.9700678292         0.0152132365
    51         5.100000   -196547.6753953423         0.0146774946
    52         5.200000   -196549.3090773918         0.0141542388
    53         5.300000   -196550.8756419760         0.0136434670
    54         5.400000   -196552.3792299317         0.0131451434
    55         5.500000   -196553.8236359516         0.0126592041
    56         5.600000   -196555.2123444715         0.0121855612
    57         5.700000   -196556.5485612004         0.0117241067
    58         5.800000   -196557.8352410139         0.0112747161
    59         5.900000   -196559.0751124064         0.0108372511
    60         6.000000   -196560.2706993023         0.0104115620
    61         6.100000   -196561.4243402888         0.0099974901
    62         6.200000   -196562.5382058114         0.0095948692
    63         6.300000   -196563.6143133768         0.0092035276
    64         6.400000   -196564.6545412618         0.0088232888
    65         6.500000   -196565.6606406940         0.0084539732
    66         6.600000   -196566.6342467621         0.0080953983
    67         6.700000   -196567.5768882554         0.0077473801
    68         6.800000   -196568.4899964854         0.0074097333
    69         6.900000   -196569.3749132105         0.0070822718
    70         7.000000   -196570.2328978735         0.0067648092
    71         7.100000   -196571.0651340310         0.0064571589
    72         7.200000   -196571.8727352147         0.0061591347
    73         7.300000   -196572.6567503015         0.0058705505
    74         7.400000   -196573.4181682824         0.0055912207
    75         7.500000   -196574.1579226539         0.0053209603
    76         7.600000   -196574.8768954503         0.0050595849
    77         7.700000   -196575.5759208377         0.0048069108
    78         7.800000   -196576.2557884253         0.0045627552
    79         7.900000   -196576.9172462973         0.0043269359
    80         8.000000   -196577.5610038191         0.0040992716
    81         8.100000   -196578.1877341481         0.0038795820
    82         8.200000   -196578.7980765438         0.0036676875
    83         8.300000   -196579.3926385414         0.0034634099
    84         8.400000   -196579.9719978664         0.0032665715
    85         8.500000   -196580.5367043327         0.0030769961
    86         8.600000   -196581.0872814120         0.0028945085
    87         8.700000   -196581.6242278665         0.0027189348
    88         8.800000   -196582.1480190956         0.0025501023
    89         8.900000   -196582.6591085475         0.0023878397
    90         9.000000   -196583.1579288718         0.0022319772
    91         9.100000   -196583.6448931005         0.0020823465
    92         9.200000   -196584.1203956987         0.0019387808
    93         9.300000   -196584.5848135731         0.0018011151
    94         9.400000   -196585.0385069665         0.0016691863
    95         9.500000   -196585.4818203503         0.0015428328
    96         9.600000   -196585.9150832315         0.0014218952
    97         9.700000   -196586.3386109005         0.0013062159
    98         9.800000   -196586.7527051484         0.0011956396
    99         9.900000   -196587.1576549597         0.0010900131
   100        10.000000   -196587.5537371047         0.0009891852
