# step                t               action                    Q
     0         0.000000   -116640.0611421583        -0.3205439157
     1         0.100000   -161710.3420983337         0.0258119297
     2         0.200000   -181052.3070537075         0.1696632058
     3         0.300000   -188824.3912328799         0.2326466182
     4         0.400000   -192188.9450092625         0.2920304049
     5         0.500000   -193806.1345524346         0.3509208620
     6         0.600000   -194668.2971676108         0.4078692732
     7         0.700000   -195172.1750862877         0.4577307990
     8         0.800000   -195490.2989551731         0.4978739367
     9         0.900000   -195704.2391871193         0.5297661518
    10         1.000000   -195855.6260799564         0.5559803248
    11         1.100000   -195967.2148732180         0.5784582536
    12         1.200000   -196052.2236577784         0.5983342809
    13         1.300000   -196118.7488902842         0.6161966490
    14         1.400000   -196171.9814797718         0.6323235378
    15         1.500000   -196215.3816432817         0.6468316319
    16         1.600000   -196251.3336351780         0.6597636496
    17         1.700000   -196281.5274217774         0.6711394614
    18         1.800000   -196307.1902992778         0.6809845806
    19         1.900000   -196329.2325293873         0.6893436397
    20         2.000000   -196348.3418087684         0.6962838550
    21         2.100000   -196365.0462419767         0.7018923281
    22         2.200000   -196379.7573336032         0.7062702404
    23         2.300000   -196392.7999637403         0.7095261864
    24         2.400000   -196404.4336823098         0.7117700748
    25         2.500000   -196414.8680922081         0.7131083075
    26         2.600000   -196424.2741322049         0.7136404242
    27         2.700000   -196432.7924678912         0.7134570752
    28         2.800000   -196440.5398116461         0.7126390500
    29         2.900000   -196447.6137390174         0.7112570539
    30         3.000000   -196454.0963991251         0.7093719653
    31         3.100000   -196460.0574022312         0.7070353626
    32         3.200000   -196465.5560881534         0.7042901716
    33         3.300000   -196470.6433240326         0.7011713310
    34         3.400000   -196475.3629410819         0.6977064123
    35         3.500000   -196479.7528916239         0.6939161568
    36         3.600000   -196483.8461879010         0.6898149043
    37         3.700000   -196487.6716690725         0.6854108998
    38         3.800000   -196491.2546319718         0.6807064666
    39         3.900000   -196494.6173530566         0.6756980326
    40         4.000000   -196497.7795230999         0.6703759952
    41         4.100000   -196500.7586111279         0.6647244019
    42         4.200000   -196503.5701711197         0.6587204150
    43         4.300000   -196506.2281020380         0.6523335177
    44         4.400000   -196508.7448696522         0.6455243986
    45         4.500000   -196511.1316974678         0.6382434318
    46         4.600000   -196513.3987325674         0.6304286338
    47         4.700000   -196515.5551916333         0.6220029384
    48         4.800000   -196517.6094917761         0.6128705659
    49         4.900000   -196519.5693710247         0.6029121838
    50         5.000000   -196521.4420032674         0.5919784441
    51         5.100000   -196523.2341135383         0.5798813357
    52         5.200000   -196524.9521012435         0.5663826202
    53         5.300000   -196526.6021816400         0.5511784440
    54         5.400000   -196528.1905608084         0.5338791434
    55         5.500000   -196529.7236660620         0.5139835619
    56         5.600000   -196531.2084641766         0.4908485598
    57         5.700000   -196532.6529106299         0.4636584498
    58         5.800000   -196534.0665763727         0.4314093541
    59         5.900000   -196535.4614625806         0.3929465933
    60         6.000000   -196536.8528506412         0.3471377798
    61         6.100000   -196538.2595543370         0.2933261406
    62         6.200000   -196539.7019240569         0.2322142331
    63         6.300000   -196541.1948522812         0.1670362356
    64         6.400000   -196542.7347572379         0.1040267072
    65         6.500000   -196544.2884092169         0.0505707501
    66         6.600000   -196545.8000890671         0.0113343935
    67         6.700000   -196547.2189185282        -0.0139472347
    68         6.800000   -196548.5211750251        -0.0288287938
    69         6.900000   -196549.7096520356        -0.0372378902
    70         7.000000   -196550.8002005394        -0.0420004563
    71         7.100000   -196551.8106189329        -0.0447817943
    72         7.200000   -196552.7559122332        -0.0464799039
    73         7.300000   -196553.6475019855        -0.0475676773
    74         7.400000   -196554.4938358832        -0.0482974892
    75         7.500000   -196555.3011950840        -0.0488084184
    76         7.600000   -196556.0743441470        -0.0491801912
    77         7.700000   -196556.8169880032        -0.0494603911
    78         7.800000   -196557.5320800586        -0.0496785175
    79         7.900000   -196558.2220289527        -0.0498534989
    80         8.000000   -196558.8888391656        -0.0499978591
    81         8.100000   -196559.5342084096        -0.0501201127
    82         8.200000   -196560.1595966305        -0.0502261900
    83         8.300000   -196560.7662758987        -0.0503203120
    84         8.400000   -196561.3553672532        -0.0504055416
    85         8.500000   -196561.9278684154        -0.0504841407
    86         8.600000   -196562.4846749902        -0.0505578053
    87         8.700000   -196563.0265969421        -0.0506278250
    88         8.800000   -196563.5543715410        -0.0506951913
    89         8.900000   -196564.0686738378        -0.0507606745
    90         9.000000   -196564.5701249329        -0.0508248767
    91         9.100000   -196565.0592989310        -0.0508882711
    92         9.200000   -196565.5367285785        -0.0509512302
